Count: 252, Range: 2025-04-24 to 2026-04-24

=== GLD Daily Historical Prices - Past 365 Days ===
Open (oldest): $306.98
Close (latest): $433.54
52-Week High: $509.70
52-Week Low: $291.78
Avg Daily Volume: 13,750,224
Daily Return Std Dev: 1.71%
Annualized Volatility: 27.20%
Avg Daily Return: 0.1510%
Period Return: 40.73%

--- CSV Data ---
Date,Open,High,Low,Close,Volume
2025-11-14,372.87,378.2,370.89,375.96,15198027
2025-11-17,374.04,375.46,368.52,371.65,13295248
2025-11-18,374.83,375.54,371.62,374.35,7818800
2025-11-19,377.78,380.17,373.03,374.96,10980420
2025-11-20,375.29,377.69,371.85,374.85,10506548
2025-11-21,374.03,377.23,372.94,374.27,13194600
2025-11-24,374.88,380.28,374.19,380.2,10085318
2025-11-25,380.26,382.52,378.06,380.08,10462806
2025-11-26,381.06,383.78,380.46,383.12,9184100
2025-11-28,385.98,388,384.99,387.88,7175407
2025-12-01,390.61,390.7,388.06,389.75,11177100
2025-12-02,388.87,388.98,382.91,387.24,8103923
2025-12-03,388.46,390.13,385.83,386.88,7886800
2025-12-04,386.92,388,385.4,387.13,6754434
2025-12-05,389.12,391.74,386.18,386.44,9449808
2025-12-08,387.02,387.24,384.01,385.42,6822119
2025-12-09,385.62,388.21,385.27,387.4,6358700
2025-12-10,385.95,389.76,384.5,389.05,9120500
2025-12-11,389.02,394.09,388.5,393.24,11240629
2025-12-12,399.16,400.39,391.47,395.44,16792100
2025-12-15,397.76,398.71,394.07,395.8,11345031
2025-12-16,397.75,398.71,394.59,395.89,9201600
2025-12-17,398.08,399.98,397.25,399.29,10456900
2025-12-18,398.28,402.21,396.05,398.57,11837600
2025-12-19,397.92,400.63,397.17,399.02,9894800
2025-12-22,406.98,408.52,405.72,408.23,14202100
2025-12-23,410.3,413.76,407.1,413.64,13193300
2025-12-24,412.25,412.63,408.83,411.93,6718437
2025-12-26,416.48,418.45,414.75,416.74,10476234
2025-12-29,403.66,403.76,395.33,398.6,20679239
2025-12-30,403.6,403.8,398.56,398.89,10179028
2025-12-31,398.6,400.13,395.59,396.31,10194738
2026-01-02,401.62,401.82,396.25,398.28,10372600
2026-01-05,406.39,409.72,406.15,408.76,13410637
2026-01-06,410.67,413.48,410.31,413.18,11640912
2026-01-07,408.63,410.81,406.65,409.23,10589500
2026-01-08,406.97,411.64,406.4,411.49,8705926
2026-01-09,413.22,415.29,411.8,414.47,14011238
2026-01-12,421.52,425.74,421.52,422.23,20904133
2026-01-13,424.59,426.12,420.07,421.63,16681219
2026-01-14,426.03,426.86,422.84,425.94,18305538
2026-01-15,423.02,425.06,422.79,423.33,14253249
2026-01-16,422.8,424.8,417.04,421.29,20951600
2026-01-20,436.69,438.14,434.1,437.23,21308137
2026-01-21,446.87,448,437.11,443.6,38830228
2026-01-22,443.84,452.98,443.56,451.79,19251200
2026-01-23,454.11,458.75,453.45,458,21531900
2026-01-26,466.78,469.28,460.36,464.7,34156000
2026-01-27,465.07,476.49,463.95,476.1,28386220
2026-01-28,483.39,495.88,481.25,494.56,44154600
2026-01-29,509.51,509.7,468.51,495.9,69970900
2026-01-30,466.25,470.06,430.8,444.95,86593519
2026-02-02,434.01,440.78,422.55,427.13,41626234
2026-02-03,452.63,459,448.31,454.29,28703500
2026-02-04,462.47,463.1,445.71,453.97,24427923
2026-02-05,444.29,450.9,440.35,441.88,17718100
2026-02-06,450.73,456.93,450.03,455.46,12663907
2026-02-09,461.39,467.56,460.85,467.03,12330900
2026-02-10,465.96,466.75,459.52,462.4,7861600
2026-02-11,466,468.61,462.82,467.63,11209600
2026-02-12,464.9,466.38,448.06,451.39,20488829
2026-02-13,459.73,463.84,456.25,462.62,12359348
2026-02-17,450.26,451.37,445.53,448.2,10976100
2026-02-18,455.81,460.51,455.32,458.28,10226301
2026-02-19,457.34,461.51,456.03,459.56,8411438
2026-02-20,463.25,468.62,458.34,468.62,14316300
2026-02-23,474.65,481.46,474.61,481.28,17441600
2026-02-24,470.09,475.44,469.55,474.61,14147100
2026-02-25,475.74,479.53,472.9,473.42,12954300
2026-02-26,474.95,477.83,442.04,477.48,12375047
2026-02-27,480.75,483.9,479.11,483.75,16795100
2026-03-02,490.1,492.15,483.28,490,19916600
2026-03-03,472.83,473.2,458.93,468.14,22591538
2026-03-04,474.82,476.42,469.39,471.8,9985900
2026-03-05,470.45,470.67,463.91,466.13,11674826
2026-03-06,469.04,475.46,467.07,473.51,10489815
2026-03-09,468.09,472.68,464.79,472.53,8829848
2026-03-10,479.74,481.31,474.21,477.86,9616837
2026-03-11,476.13,477.45,473.13,476.24,7522900
2026-03-12,475.02,475.02,466.6,466.88,11900600
2026-03-13,469.31,470.1,460.22,460.84,11741600
2026-03-16,461.27,462.8,456.91,460.43,8964100
2026-03-17,460.51,462.21,456.87,459.27,7610100
2026-03-18,446.66,450.06,444.39,444.74,18375612
