date,open,high,low,close,volume
2022-10-28,65.88,67.56,65.8,67.42,13592900
2022-10-31,67.24,67.52,66.38,66.78,10894801
2022-11-01,67.18,67.44,66.52,67.04,10739673
2022-11-02,66.82,68.2,66.36,66.4,21340346
2022-11-03,65.76,67.28,65.4,66.68,14328200
2022-11-04,66.82,67.36,65.92,67.1,12149200
2022-11-07,66.96,67.06,64.76,65.82,14296400
2022-11-08,65.9,66.68,65.7,66.28,12413944
2022-11-09,66,66.5,65.62,65.76,12890900
2022-11-10,67.74,68.98,66.74,68.84,17915200
2022-11-11,68.84,69.04,67.44,68.08,15312147
2022-11-14,68.12,68.48,67.24,67.28,10245526
2022-11-15,67.98,68.48,67.2,68.02,13620997
2022-11-16,68.04,68.98,68.04,68.62,13231319
2022-11-17,67.88,68.06,67.1,67.42,11623688
2022-11-18,68.06,68.92,68.02,68.84,11741523
2022-11-21,68.74,69.36,68.7,69.16,11438614
2022-11-22,69.48,70.18,69.3,69.76,7452793
2022-11-23,69.56,70.56,69.56,70.54,7166774
2022-11-25,70.8,71.16,70.74,70.94,4491500
2022-11-28,70.46,70.72,69.92,70.2,9131974
2022-11-29,69.78,69.84,69.28,69.7,9502405
2022-11-30,69.56,71.58,69.48,71.44,16473200
2022-12-01,72.14,72.52,71.18,71.38,15353131
2022-12-02,70.62,71.22,70.32,71.04,10354316
2022-12-05,70.48,70.9,70.36,70.64,11451526
2022-12-06,70.54,71.12,70.26,71.06,12824800
2022-12-07,71.14,71.62,70.48,70.74,14148963
2022-12-08,70.76,71.46,70.48,71.2,9960058
2022-12-09,70.96,71.46,70.76,70.84,11918637
2022-12-12,71.2,72.48,70.94,72.46,11381915
2022-12-13,73.48,73.8,71.88,72.68,13694210
2022-12-14,72.92,73.7,72.06,72.58,13318723
2022-12-15,72.3,72.42,71.36,71.7,13154293
2022-12-16,71.16,71.16,69.6,70.48,19631707
2022-12-19,69.56,70.3,69.18,69.64,9832300
2022-12-20,69.6,70.04,69.14,69.66,7982036
2022-12-21,70.06,70.64,69.84,70.62,8242400
